"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","worker_id","control_loneliness_1","control_loneliness_2","control_loneliness_3","exp_lonely_before_1","exp_lonely_before_2","exp_lonely_before_3","completion_code","exp_lonely_after_1","exp_lonely_after_2","exp_lonely_after_3","participantId","condition"
"Start Date","End Date","Response Type",1,"Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",1,1,"Distribution Channel","User Language","Do you consent","What is your Connect participant ID?

Please note that this response should auto-fill with the correct ID.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","Important: Please enter the exact completion code you received at the end of your interaction.

In case you did not receive a completion code even though you completed your interaction, refresh the interaction page or close the interaction page and reopen the link above again in a separate tab","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel like I lack companionship.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel left out.","Now that you have finished interacting with the AI companion for 15 minutes, we will again ask you how you currently feel. 



The next questions ask how you currently feel about different aspects of your life. For each one, indicate the extent to which you agree that you feel this way. - I feel isolated from others.","participantId","condition"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",2,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",2,2,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID162_2""}","{""ImportId"":""QID162_3""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID164_3""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID165_2""}","{""ImportId"":""QID165_3""}","{""ImportId"":""participantId""}","{""ImportId"":""condition""}"
"2024-04-10 23:11:38","2024-04-10 23:11:58","0",3,"100","19","1","2024-04-10 23:12:02","R_5nwJgY0bg4RiuEG","","","","",3,3,"anonymous","EN","1","234B82E314EE44A2AF40B8ED7FF293C1","87","98","88","","","","","","","","234B82E314EE44A2AF40B8ED7FF293C1","Control"
"2024-04-10 23:11:39","2024-04-10 23:12:10","0",4,"100","31","1","2024-04-10 23:12:12","R_19uf9WVweh8lZm1","","","","",4,4,"anonymous","EN","1","6DA8CF8888CF48B1B27D2EECC297EA01","50","29","50","","","","","","","","6DA8CF8888CF48B1B27D2EECC297EA01","Control"
"2024-04-10 23:11:57","2024-04-10 23:12:26","0",5,"100","28","1","2024-04-10 23:12:26","R_3rMp32s1SpAVH8L","","","","",5,5,"anonymous","EN","1","60DBD443B4F34727A4CEF8C20CA5D6E0","0","0","0","","","","","","","","60DBD443B4F34727A4CEF8C20CA5D6E0","Control"
"2024-04-10 23:12:26","2024-04-10 23:12:41","0",6,"100","15","1","2024-04-10 23:12:42","R_2fIiCldCXOL6PJV","","","","",6,6,"anonymous","EN","1","436D50B6F96D4D1DA1253145A7F78FE9","0","0","0","","","","","","","","436D50B6F96D4D1DA1253145A7F78FE9","Control"
"2024-04-10 23:11:17","2024-04-10 23:13:10","0",7,"100","113","1","2024-04-10 23:13:11","R_2qr7CteE628N2mr","","","","",7,7,"anonymous","EN","1","CB18A705D3D540B8A4A8D627BE511170","25","35","45","","","","","","","","CB18A705D3D540B8A4A8D627BE511170","Control"
"2024-04-10 23:13:01","2024-04-10 23:14:17","0",8,"100","76","1","2024-04-10 23:14:18","R_31bi8y8s4xNhIrl","","","","",8,8,"anonymous","EN","1","74901D2ADE564603BE59D28A55952B5C","90","90","90","","","","","","","","74901D2ADE564603BE59D28A55952B5C","Control"
"2024-04-10 23:13:47","2024-04-10 23:14:21","0",9,"100","33","1","2024-04-10 23:14:21","R_7Qma0df3Rj3674d","","","","",9,9,"anonymous","EN","1","ED0140E0071A4ACBA4A821244ED622E8","20","24","18","","","","","","","","ED0140E0071A4ACBA4A821244ED622E8","Control"
"2024-04-10 23:14:10","2024-04-10 23:15:01","0",10,"100","50","1","2024-04-10 23:15:01","R_7MnCLAmaGBXfb5J","","","","",10,10,"anonymous","EN","1","468748B4948840EAADF5FD358EA0CA46","0","0","0","","","","","","","","468748B4948840EAADF5FD358EA0CA46","Control"
